,ID,Name,FoodPreference,Age,Sex,Kitchen,Kitchen_Story,Kitchen_Longitude,Kitchen_Latitude,ID_2,Name_2,Age_2,Sex_2
116,6c6631e6-a4d1-4480-bde6-49866525cb26,Person117,none,26,female,yes,1.0,8.663883678905329,50.57841747890533,bfbcac5e-1af1-449d-aed3-c352a1fe82f5,Personx51,27.0,male
117,6c7b60bb-ca4e-4a79-b214-8a85b47fe64b,Person118,veggie,26,female,yes,,8.675361827515003,50.576607127515,f1c0ce78-cd70-4b24-8345-8a5f61a7dd61,Personx52,23.0,female
118,6ca9e416-842c-4f1f-ab32-a82eaaeb9cc3,Person119,vegan,23,female,no,2.0,,,,,,
119,6d8163e8-011a-4c79-af27-f5e37f6810f0,Person120,veggie,22,female,yes,2.0,8.68348361247169,50.584671312471684,c26ffd65-9f31-4f35-95f6-4eef246816b1,Personx53,25.0,female
120,6e0a3fa7-f782-4fdf-9877-218cdc2b0d26,Person121,veggie,24,female,yes,,8.673342046004947,50.58207134600495,d0e1259f-f639-49b1-96c9-7edb8ed8fdc5,Personx54,22.0,female
121,703e1e19-e2ad-4fe1-b564-de65ffaba40c,Person122,none,21,female,no,3.0,,,,,,
122,71f6fe61-1373-43fd-8cb3-ab61e093065b,Person123,vegan,22,female,no,2.0,,,,,,
123,73eae26f-b26f-4d07-9fa0-5b279cbe93af,Person124,vegan,27,male,no,3.0,,,,,,
124,742271da-d2a7-4043-894f-ddb91f43515d,Person125,veggie,25,male,yes,3.0,8.675871008421705,50.587372108421704,,,,
125,75e436e6-2a92-4907-9754-ecc8ebb52632,Person126,veggie,27,female,yes,,8.676728843354113,50.57670884335411,,,,
126,771daf23-2a9a-4d5f-9ff7-9d26a2098439,Person127,veggie,22,female,yes,1.0,8.676555678271379,50.580791978271364,a22a1d74-86f4-4915-a746-5ace49269029,Personx55,21.0,female
127,783ea8be-386c-408c-a4a0-d9526e101754,Person128,none,26,male,no,,,,,,,
128,78d729bf-9f64-431d-b56b-35ed7fef8472,Person129,veggie,23,female,yes,2.0,8.681594030966668,50.58151713096667,d2174ae6-6b6f-41c0-b6b9-80b965e9db09,Personx56,24.0,female
129,79fe48aa-d7a3-406a-9d9e-56231dd1da01,Person130,veggie,23,male,no,1.0,,,,,,
130,7a6a875f-413a-460c-bdf6-8ab01714a8a0,Person131,vegan,21,female,maybe,2.0,8.672565020199283,50.57914452019928,,,,
131,7ab2dc62-60b4-4b2a-99aa-cc0b9cf33316,Person132,none,25,male,yes,2.0,8.673128831119259,50.57748513111925,aba82877-d688-4f71-a79c-3b459288860c,Personx57,28.0,male
132,7af355ab-2740-41f9-826f-c16289a4d999,Person133,veggie,25,female,no,3.0,,,,,,
133,7b62774f-7215-45db-9391-43fa48b5b39d,Person134,none,33,male,yes,2.0,8.690051707206509,50.58585800720651,,,,
134,7c129d36-3f0f-43df-a137-f43db7e2fbe6,Person135,none,24,male,yes,,8.70559476974097,50.605091169740966,,,,
135,7da66efb-7d75-4b72-b388-bbbb88c59918,Person136,veggie,20,female,no,2.0,,,,,,
136,7dc001b3-8098-4179-9396-3d247caf27b6,Person137,none,25,female,no,,,,,,,
137,7ef160be-b5cb-4283-86aa-47cae600eacf,Person138,vegan,22,female,maybe,3.0,8.669735587270592,50.584974587270594,,,,
138,823e7ec8-c04e-4bcb-8542-d4d90544eadb,Person139,none,28,female,yes,1.0,8.666420803639866,50.593135003639865,d958f185-409e-45b1-8c06-512d882d969f,Personx58,22.0,female
